title,primary_language,year,genres_str,movieId,genres_list
Haider,Hindi,2003,"Drama, Romance, Comedy",9000458,"['Comedy', 'Drama', 'Romance']"
Bhaag Milkha Bhaag,Hindi,2000,"Drama, Romance, Comedy",9000459,"['Action', 'Thriller', 'Drama', 'Romance']"
Aashiqui 2,Hindi,2022,"Drama, Romance, Comedy",9000460,"['Crime', 'Drama']"
Barfi!,Hindi,2017,"Drama, Romance, Comedy",9000461,"['Action', 'Romance']"
Kahaani,Hindi,2023,"Drama, Romance, Comedy",9000462,"['Crime', 'Sci-Fi', 'Romance', 'Drama']"
Vicky Donor,Hindi,2003,"Drama, Romance, Comedy",9000463,"['Comedy', 'Crime', 'Drama']"
English Vinglish,Hindi,2024,"Drama, Romance, Comedy",9000464,"['Horror', 'Action', 'Thriller']"
Zindagi Na Milegi Dobara,Hindi,2006,"Drama, Romance, Comedy",9000465,"['Comedy', 'Drama', 'Romance']"
Rockstar,Hindi,2020,"Drama, Romance, Comedy",9000466,"['Crime', 'Comedy', 'Romance', 'Drama']"
The Dirty Picture,Hindi,2014,"Drama, Romance, Comedy",9000467,"['Action', 'Sci-Fi', 'Drama']"
Delhi Belly,Hindi,2008,"Drama, Romance, Comedy",9000468,"['Sci-Fi', 'Thriller', 'Romance']"
My Name Is Khan,Hindi,2020,"Drama, Romance, Comedy",9000469,"['Action', 'Drama']"
Dabangg,Hindi,2009,"Drama, Romance, Comedy",9000470,"['Drama', 'Thriller', 'Crime']"
Band Baaja Baaraat,Hindi,2006,"Drama, Romance, Comedy",9000471,"['Comedy', 'Horror', 'Romance', 'Drama']"
Udaan,Hindi,2002,"Drama, Romance, Comedy",9000472,"['Horror', 'Sci-Fi', 'Drama']"
Love Aaj Kal,Hindi,2007,"Romance, Drama",9000473,"['Action', 'Drama', 'Romance']"
Wake Up Sid,Hindi,2019,"Drama, Romance, Comedy",9000474,"['Action', 'Comedy', 'Romance', 'Drama']"
Dev.D,Hindi,2011,"Drama, Romance, Comedy",9000475,"['Sci-Fi', 'Drama', 'Romance']"
Ghajini,Hindi,2007,"Drama, Romance, Comedy",9000476,"['Thriller', 'Action', 'Drama', 'Romance']"
Jodhaa Akbar,Hindi,2018,"Drama, Romance, Comedy",9000477,"['Crime', 'Sci-Fi', 'Drama', 'Romance']"
Rock On!!,Hindi,2005,"Drama, Romance, Comedy",9000478,"['Horror', 'Sci-Fi', 'Crime', 'Drama']"
A Wednesday!,Hindi,2019,"Drama, Romance, Comedy",9000479,"['Thriller', 'Sci-Fi', 'Crime']"
Jaane Tu... Ya Jaane Na,Hindi,2004,"Drama, Romance, Comedy",9000480,"['Horror', 'Thriller', 'Drama', 'Romance']"
Chak De! India,Hindi,2005,"Drama, Romance, Comedy",9000481,"['Drama', 'Sci-Fi', 'Comedy', 'Romance']"
Taare Zameen Par,Hindi,2017,"Drama, Romance, Comedy",9000482,"['Thriller', 'Crime', 'Action', 'Drama', 'Romance']"
Jab We Met,Hindi,2013,"Drama, Romance, Comedy",9000483,"['Thriller', 'Comedy', 'Crime', 'Drama']"
Om Shanti Om,Hindi,2004,"Drama, Romance, Comedy",9000484,"['Crime', 'Sci-Fi', 'Drama']"
Guru,Hindi,2007,"Drama, Romance, Comedy",9000485,"['Crime', 'Action', 'Drama']"
Rang De Basanti,Hindi,2021,"Drama, Romance, Comedy",9000486,"['Horror', 'Action', 'Drama', 'Romance']"
Lage Raho Munna Bhai,Hindi,2020,"Drama, Romance, Comedy",9000487,"['Sci-Fi', 'Drama']"
Krrish,Hindi,2013,"Drama, Romance, Comedy",9000488,"['Horror', 'Action', 'Drama', 'Romance']"
Don,Hindi,2025,"Drama, Romance, Comedy",9000489,"['Crime', 'Drama', 'Romance']"
Vivah,Hindi,2019,"Drama, Romance, Comedy",9000490,"['Comedy', 'Thriller']"
Black,Hindi,2013,"Drama, Romance, Comedy",9000491,"['Action', 'Drama', 'Romance']"
Bunty Aur Babli,Hindi,2019,"Drama, Romance, Comedy",9000492,"['Action', 'Horror', 'Romance']"
Swades,Hindi,2024,"Drama, Romance, Comedy",9000493,"['Action', 'Sci-Fi', 'Romance']"
Main Hoon Na,Hindi,2006,"Drama, Romance, Comedy",9000494,"['Thriller', 'Horror', 'Drama']"
Veer-Zaara,Hindi,2009,"Drama, Romance, Comedy",9000495,"['Drama', 'Romance', 'Action']"
Lakshya,Hindi,2023,"Drama, Romance, Comedy",9000496,"['Thriller', 'Romance', 'Sci-Fi']"
Kal Ho Naa Ho,Hindi,2017,"Drama, Romance, Comedy",9000497,['Thriller']
Munna Bhai M.B.B.S.,Hindi,2014,"Drama, Romance, Comedy",9000498,"['Action', 'Horror', 'Romance']"
Koi... Mil Gaya,Hindi,2024,"Drama, Romance, Comedy",9000499,"['Drama', 'Horror', 'Thriller', 'Romance']"
Devdas,Hindi,2022,"Drama, Romance, Comedy",9000500,"['Comedy', 'Drama']"
Lagaan,Hindi,2025,"Drama, Romance, Comedy",9000501,"['Thriller', 'Romance']"
Dil Chahta Hai,Hindi,2013,"Romance, Drama",9000502,"['Sci-Fi', 'Horror', 'Drama']"
Kabhi Khushi Kabhie Gham...,Hindi,2019,"Drama, Romance, Comedy",9000503,"['Romance', 'Drama']"
Kaho Naa... Pyaar Hai,Hindi,2001,"Romance, Drama",9000504,"['Romance', 'Thriller', 'Horror', 'Drama']"
Mohabbatein,Hindi,2014,"Drama, Romance, Comedy",9000505,"['Sci-Fi', 'Drama']"
Gadar: Ek Prem Katha,Hindi,2010,"Romance, Drama",9000506,"['Thriller', 'Drama', 'Romance']"
Dil To Pagal Hai,Hindi,2016,"Romance, Drama",9000508,"['Horror', 'Thriller', 'Action', 'Drama']"
Kuch Kuch Hota Hai,Hindi,2009,"Drama, Romance, Comedy",9000509,"['Action', 'Crime', 'Comedy', 'Drama', 'Romance']"
Dilwale Dulhania Le Jayenge,Hindi,2018,"Romance, Drama",9000510,"['Romance', 'Drama']"
Hum Aapke Hain Koun..!,Hindi,2007,"Drama, Romance, Comedy",9000511,"['Thriller', 'Drama']"
Chhichhore,Hindi,2002,"Drama, Romance, Comedy",9000512,"['Romance', 'Crime', 'Comedy', 'Drama']"
Pati Patni Aur Woh,Hindi,2009,"Drama, Romance, Comedy",9000513,"['Horror', 'Drama', 'Romance']"
Dream Girl,Hindi,2011,"Drama, Romance, Comedy",9000514,"['Thriller', 'Crime', 'Drama']"
Bala,Hindi,2022,"Drama, Romance, Comedy",9000515,"['Sci-Fi', 'Action', 'Romance']"
Saand Ki Aankh,Hindi,2004,"Drama, Romance, Comedy",9000516,"['Thriller', 'Romance', 'Drama']"
Article 15,Hindi,2008,"Drama, Romance, Comedy",9000517,"['Romance', 'Drama']"
De De Pyaar De,Hindi,2011,"Romance, Drama",9000518,"['Crime', 'Romance', 'Drama']"
Luka Chuppi,Hindi,2006,"Drama, Romance, Comedy",9000519,"['Crime', 'Drama']"
Manikarnika,Hindi,2012,"Drama, Romance, Comedy",9000520,"['Drama', 'Romance']"
Kedarnath,Hindi,2008,"Drama, Romance, Comedy",9000521,"['Crime', 'Comedy', 'Drama']"
2.0 (Hindi),Hindi,2002,"Drama, Romance, Comedy",9000522,['Romance']
Thugs of Hindostan,Hindi,2026,"Drama, Romance, Comedy",9000523,"['Comedy', 'Romance']"
Sui Dhaaga,Hindi,2020,"Drama, Romance, Comedy",9000524,"['Crime', 'Drama']"
Gold,Hindi,2013,"Drama, Romance, Comedy",9000526,"['Sci-Fi', 'Romance']"
Dhadak,Hindi,2014,"Drama, Romance, Comedy",9000527,"['Comedy', 'Drama', 'Action', 'Romance']"
Veere Di Wedding,Hindi,2015,"Drama, Romance, Comedy",9000528,"['Horror', 'Romance']"
Parmanu,Hindi,2009,"Drama, Romance, Comedy",9000529,"['Horror', 'Drama', 'Romance']"
102 Not Out,Hindi,2009,"Drama, Romance, Comedy",9000530,"['Crime', 'Comedy', 'Horror']"
Raid,Hindi,2006,"Drama, Romance, Comedy",9000532,"['Horror', 'Sci-Fi', 'Thriller', 'Drama']"
Padman,Hindi,2022,"Drama, Romance, Comedy",9000533,['Romance']
Secret Superstar,Hindi,2026,"Drama, Romance, Comedy",9000534,"['Drama', 'Romance']"
Newton,Hindi,2011,"Drama, Romance, Comedy",9000537,"['Comedy', 'Thriller', 'Romance']"
Shubh Mangal Saavdhan,Hindi,2015,"Drama, Romance, Comedy",9000538,"['Horror', 'Comedy', 'Drama']"
Bareilly Ki Barfi,Hindi,2002,"Drama, Romance, Comedy",9000539,"['Action', 'Drama', 'Romance']"
Jab Harry Met Sejal,Hindi,2016,"Drama, Romance, Comedy",9000541,['Comedy']
Mubarakan,Hindi,2024,"Drama, Romance, Comedy",9000542,"['Thriller', 'Romance']"
Jagga Jasoos,Hindi,2023,"Drama, Romance, Comedy",9000543,"['Crime', 'Drama', 'Romance']"
Hindi Medium,Hindi,2001,"Drama, Romance, Comedy",9000544,"['Romance', 'Drama']"
Half Girlfriend,Hindi,2014,"Drama, Romance, Comedy",9000545,"['Action', 'Horror', 'Drama', 'Romance']"
Raees,Hindi,2014,"Drama, Romance, Comedy",9000548,"['Romance', 'Drama']"
Kaabil,Hindi,2003,"Drama, Romance, Comedy",9000549,"['Action', 'Drama']"
Ok Jaanu,Hindi,2004,"Drama, Romance, Comedy",9000550,"['Action', 'Thriller', 'Crime', 'Romance']"
Shivaay,Hindi,2013,"Drama, Romance, Comedy",9000553,"['Crime', 'Sci-Fi', 'Horror', 'Drama']"
M.S. Dhoni,Hindi,2000,"Drama, Romance, Comedy",9000555,"['Comedy', 'Horror', 'Sci-Fi', 'Drama']"
Baar Baar Dekho,Hindi,2013,"Drama, Romance, Comedy",9000557,"['Sci-Fi', 'Horror', 'Comedy', 'Romance']"
Dishoom,Hindi,2016,"Drama, Romance, Comedy",9000559,"['Comedy', 'Action', 'Thriller', 'Romance']"
Housefull 3,Hindi,2022,"Drama, Romance, Comedy",9000562,"['Crime', 'Action', 'Horror', 'Romance']"
Azhar,Hindi,2004,"Drama, Romance, Comedy",9000563,"['Crime', 'Drama']"
Baaghi,Hindi,2003,"Drama, Romance, Comedy",9000564,"['Comedy', 'Thriller', 'Action', 'Drama', 'Romance']"
Fan,Hindi,2002,"Drama, Romance, Comedy",9000565,"['Thriller', 'Drama', 'Romance']"
Ki & Ka,Hindi,2000,"Drama, Romance, Comedy",9000566,"['Action', 'Drama', 'Romance']"
Wazir,Hindi,2024,"Drama, Romance, Comedy",9000570,"['Drama', 'Crime', 'Action', 'Romance']"
Dilwale,Hindi,2022,"Romance, Drama",9000571,"['Sci-Fi', 'Drama']"
Tamasha,Hindi,2009,"Drama, Romance, Comedy",9000573,"['Action', 'Sci-Fi', 'Romance']"
Shaandaar,Hindi,2002,"Drama, Romance, Comedy",9000575,"['Action', 'Crime', 'Sci-Fi', 'Romance']"
Singh Is Bliing,Hindi,2026,"Drama, Romance, Comedy",9000576,"['Action', 'Comedy', 'Romance']"
Talvar,Hindi,2017,"Drama, Romance, Comedy",9000577,"['Crime', 'Horror', 'Romance']"
Welcome Back,Hindi,2010,"Drama, Romance, Comedy",9000578,['Thriller']
Phantom,Hindi,2024,"Drama, Romance, Comedy",9000579,"['Romance', 'Drama']"
Brothers,Hindi,2017,"Drama, Romance, Comedy",9000580,"['Thriller', 'Drama', 'Romance']"
Drishyam,Hindi,2010,"Drama, Romance, Comedy",9000581,"['Sci-Fi', 'Romance']"
ABCD 2,Hindi,2003,"Drama, Romance, Comedy",9000583,"['Romance', 'Comedy', 'Drama']"
Gabbar Is Back,Hindi,2018,"Drama, Romance, Comedy",9000587,"['Drama', 'Romance']"
Badlapur,Hindi,2009,"Drama, Romance, Comedy",9000588,"['Action', 'Crime', 'Drama', 'Romance']"
Tevar,Hindi,2019,"Drama, Romance, Comedy",9000590,"['Thriller', 'Crime', 'Drama', 'Romance']"
Action Jackson,Hindi,2001,"Drama, Romance, Comedy",9000592,"['Romance', 'Thriller']"
Bang Bang!,Hindi,2018,"Drama, Romance, Comedy",9000595,"['Thriller', 'Romance']"
Khoobsurat,Hindi,2012,"Drama, Romance, Comedy",9000596,"['Crime', 'Romance']"
Mary Kom,Hindi,2024,"Drama, Romance, Comedy",9000597,"['Drama', 'Romance']"
Mardaani,Hindi,2017,"Drama, Romance, Comedy",9000598,"['Drama', 'Romance', 'Action']"
Singham Returns,Hindi,2017,"Drama, Romance, Comedy",9000599,['Drama']
Entertainment,Hindi,2000,"Drama, Romance, Comedy",9000600,"['Action', 'Thriller', 'Drama', 'Romance']"
Humpty Sharma Ki Dulhania,Hindi,2010,"Drama, Romance, Comedy",9000602,"['Romance', 'Action', 'Horror', 'Drama']"
Holiday,Hindi,2025,"Drama, Romance, Comedy",9000604,"['Action', 'Sci-Fi', 'Crime']"
Heropanti,Hindi,2005,"Drama, Romance, Comedy",9000605,"['Romance', 'Drama']"
Main Tera Hero,Hindi,2016,"Drama, Romance, Comedy",9000607,"['Romance', 'Comedy']"
Gunday,Hindi,2011,"Drama, Romance, Comedy",9000609,"['Crime', 'Comedy', 'Romance', 'Drama']"
Hasee Toh Phasee,Hindi,2015,"Drama, Romance, Comedy",9000610,['Horror']
Jai Ho,Hindi,2007,"Drama, Romance, Comedy",9000611,"['Sci-Fi', 'Horror', 'Comedy', 'Drama', 'Romance']"
R... Rajkumar,Hindi,2006,"Drama, Romance, Comedy",9000613,"['Thriller', 'Comedy', 'Drama']"
Ram-Leela,Hindi,2010,"Drama, Romance, Comedy",9000614,"['Sci-Fi', 'Drama', 'Romance']"
Boss,Hindi,2007,"Drama, Romance, Comedy",9000616,"['Action', 'Crime']"
Phata Poster Nikhla Hero,Hindi,2016,"Drama, Romance, Comedy",9000617,"['Comedy', 'Horror', 'Action', 'Drama']"
Grand Masti,Hindi,2000,"Comedy, Drama",9000618,['Crime']
Shuddh Desi Romance,Hindi,2016,"Romance, Drama",9000619,"['Sci-Fi', 'Comedy', 'Horror']"
Satyagraha,Hindi,2007,"Drama, Romance, Comedy",9000620,"['Romance', 'Drama']"
Madras Cafe,Hindi,2023,"Drama, Romance, Comedy",9000621,"['Crime', 'Drama']"
Lootera,Hindi,2001,"Drama, Romance, Comedy",9000624,"['Crime', 'Horror', 'Romance']"
Raanjhanaa,Hindi,2015,"Drama, Romance, Comedy",9000625,"['Comedy', 'Drama', 'Romance']"
Fukrey,Hindi,2017,"Drama, Romance, Comedy",9000626,"['Romance', 'Horror', 'Drama']"
Chashme Baddoor,Hindi,2013,"Drama, Romance, Comedy",9000629,['Drama']
Jolly LLB,Hindi,2021,"Drama, Romance, Comedy",9000630,"['Action', 'Drama', 'Romance']"
Kai Po Che!,Hindi,2009,"Drama, Romance, Comedy",9000631,"['Thriller', 'Crime']"
Special 26,Hindi,2013,"Drama, Romance, Comedy",9000632,"['Horror', 'Romance', 'Drama']"
ABCD,Hindi,2000,"Drama, Romance, Comedy",9000633,"['Romance', 'Drama']"
Race 2,Hindi,2026,"Drama, Romance, Comedy",9000634,"['Comedy', 'Crime', 'Drama', 'Romance']"
Dabangg 2,Hindi,2014,"Drama, Romance, Comedy",9000635,"['Crime', 'Romance', 'Horror']"
Talaash,Hindi,2020,"Drama, Romance, Comedy",9000636,"['Sci-Fi', 'Action', 'Drama']"
Son of Sardaar,Hindi,2005,"Drama, Romance, Comedy",9000637,"['Sci-Fi', 'Drama', 'Romance']"
Student of the Year,Hindi,2006,"Drama, Romance, Comedy",9000638,"['Comedy', 'Action', 'Horror', 'Drama', 'Romance']"
OMG: Oh My God!,Hindi,2008,"Drama, Romance, Comedy",9000640,"['Romance', 'Drama']"
Raaz 3,Hindi,2015,"Horror, Thriller",9000642,"['Action', 'Sci-Fi', 'Drama', 'Romance']"
Cocktail,Hindi,2010,"Drama, Romance, Comedy",9000644,"['Crime', 'Action', 'Drama', 'Romance']"
Bol Bachchan,Hindi,2016,"Drama, Romance, Comedy",9000645,"['Romance', 'Horror', 'Crime', 'Drama']"
Rowdy Rathore,Hindi,2009,"Drama, Romance, Comedy",9000646,"['Sci-Fi', 'Thriller', 'Action']"
Ishaqzaade,Hindi,2026,"Drama, Romance, Comedy",9000647,"['Crime', 'Sci-Fi', 'Drama', 'Romance']"
Housefull 2,Hindi,2021,"Drama, Romance, Comedy",9000649,"['Action', 'Horror', 'Comedy']"
Paan Singh Tomar,Hindi,2011,"Drama, Romance, Comedy",9000651,"['Thriller', 'Action', 'Horror']"
Agneepath,Hindi,2020,"Drama, Romance, Comedy",9000652,"['Crime', 'Comedy', 'Romance']"
